i,155921,155921
i NEW GAME HEADING i,155921,155921
iCHS,155923,155923
iCoach M,155926,155926
i0-0-0,155929,155929
iAnother HS,155931,155931
iCoach Someone,155933,155933
i0-0-0,155935,155935
q,155940,155940
a0209,172408,172408
a09,172413,172413
a020003,172418,172418
#a10,172424,172424
#a111419,172433,172433
a020304,172440,172440
#a19,172445,172445
q,172446,172446
*for testing purpose, self jerseys are all 0x, opponent jerseys are all 1xq,173137,173137
+,173530,173530
a020304,173535,5
#a121314,173543,13
a090405,173548,18
#a12,173554,24
#a14,173558,28
q,173558,28
+,190309,190309
g02,190312,3
g03,190313,4
g04,190315,6
-,190318,9
+,190319,10
#g14,190323,4
#g12,190327,8
#g14,190331,12
q,190332,13
+,112812,112812
b05,112817,5
b,112819,7
#b,112821,9
#b14,112823,11
-,112825,13
q,112825,13
+,121507,121507
-,121508,1
+,121511,4
-,121511,0
+,121512,1
p02t2,121519,7
#p12p2,121530,18
q,121533,21
+,130947,130947
t0315,130955,8
#t1902,131000,53
-,131001,54
q,131002,55
